[2026-04-29T03:14:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=0
[2026-04-29T03:15:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=0
[2026-04-29T03:16:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T03:17:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T03:18:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T03:19:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T03:20:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=4
[2026-04-29T03:21:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=1.00 | stddev=0.50 | samples=15
[2026-04-29T03:22:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=5.96 | stddev=6.41 | samples=29
[2026-04-29T03:23:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=5.06 | stddev=6.07 | samples=32
[2026-04-29T03:24:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=5.06 | stddev=6.07 | samples=34
[2026-04-29T03:25:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.80 | stddev=5.87 | samples=36
[2026-04-29T03:26:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.80 | stddev=5.87 | samples=38
[2026-04-29T03:27:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.46 | stddev=5.65 | samples=40
[2026-04-29T03:28:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.34 | stddev=5.54 | samples=41
[2026-04-29T03:29:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.34 | stddev=5.54 | samples=42
[2026-04-29T03:30:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.23 | stddev=5.43 | samples=43
[2026-04-29T03:31:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.13 | stddev=5.33 | samples=45
[2026-04-29T03:32:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=4.13 | stddev=5.33 | samples=47
[2026-04-29T03:33:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=3.98 | stddev=5.19 | samples=49
[2026-04-29T03:34:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=3.82 | stddev=5.08 | samples=52
[2026-04-29T03:35:47] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=3.70 | stddev=4.96 | samples=58
